START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
06/05/18,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",06/05/18,06/05/18,10:07 PM,10:07 PM,FALSE,TRUE,06/05/18,06:07 PM,06:07 PM,FREE,BUSY
06/06/18,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"",06/06/18,06/06/18,10:07 PM,10:07 PM,FALSE,TRUE,06/06/18,06:07 PM,06:07 PM,FREE,BUSY
06/07/18,07:07 PM,07:07 PM,Orioles at Blue Jays,Rogers Centre - Toronto,"",06/07/18,06/07/18,10:07 PM,10:07 PM,FALSE,TRUE,06/07/18,06:07 PM,06:07 PM,FREE,BUSY
06/08/18,07:07 PM,07:07 PM,Orioles at Blue Jays,Rogers Centre - Toronto,"",06/08/18,06/08/18,10:07 PM,10:07 PM,FALSE,TRUE,06/08/18,06:07 PM,06:07 PM,FREE,BUSY
06/09/18,01:07 PM,01:07 PM,Orioles at Blue Jays,Rogers Centre - Toronto,"",06/09/18,06/09/18,04:07 PM,04:07 PM,FALSE,TRUE,06/09/18,12:07 PM,12:07 PM,FREE,BUSY
06/10/18,01:07 PM,01:07 PM,Orioles at Blue Jays,Rogers Centre - Toronto,"",06/10/18,06/10/18,04:07 PM,04:07 PM,FALSE,TRUE,06/10/18,12:07 PM,12:07 PM,FREE,BUSY
06/11/18,07:10 PM,07:10 PM,Blue Jays at Rays,Tropicana Field - St. Petersburg,"",06/11/18,06/11/18,10:10 PM,10:10 PM,FALSE,TRUE,06/11/18,06:10 PM,06:10 PM,FREE,BUSY
06/12/18,07:10 PM,07:10 PM,Blue Jays at Rays,Tropicana Field - St. Petersburg,"",06/12/18,06/12/18,10:10 PM,10:10 PM,FALSE,TRUE,06/12/18,06:10 PM,06:10 PM,FREE,BUSY
06/13/18,01:10 PM,01:10 PM,Blue Jays at Rays,Tropicana Field - St. Petersburg,"",06/13/18,06/13/18,04:10 PM,04:10 PM,FALSE,TRUE,06/13/18,12:10 PM,12:10 PM,FREE,BUSY
06/15/18,07:07 PM,07:07 PM,Nationals at Blue Jays,Rogers Centre - Toronto,"",06/15/18,06/15/18,10:07 PM,10:07 PM,FALSE,TRUE,06/15/18,06:07 PM,06:07 PM,FREE,BUSY
06/16/18,04:07 PM,04:07 PM,Nationals at Blue Jays,Rogers Centre - Toronto,"",06/16/18,06/16/18,07:07 PM,07:07 PM,FALSE,TRUE,06/16/18,03:07 PM,03:07 PM,FREE,BUSY
06/17/18,01:07 PM,01:07 PM,Nationals at Blue Jays,Rogers Centre - Toronto,"",06/17/18,06/17/18,04:07 PM,04:07 PM,FALSE,TRUE,06/17/18,12:07 PM,12:07 PM,FREE,BUSY
06/19/18,07:07 PM,07:07 PM,Braves at Blue Jays,Rogers Centre - Toronto,"",06/19/18,06/19/18,10:07 PM,10:07 PM,FALSE,TRUE,06/19/18,06:07 PM,06:07 PM,FREE,BUSY
06/20/18,12:37 PM,12:37 PM,Braves at Blue Jays,Rogers Centre - Toronto,"",06/20/18,06/20/18,03:37 PM,03:37 PM,FALSE,TRUE,06/20/18,11:37 AM,11:37 AM,FREE,BUSY
06/21/18,10:07 PM,10:07 PM,Blue Jays at Angels,Angel Stadium of Anaheim - Anaheim,"",06/22/18,06/22/18,01:07 AM,01:07 AM,FALSE,TRUE,06/21/18,09:07 PM,09:07 PM,FREE,BUSY
06/22/18,10:07 PM,10:07 PM,Blue Jays at Angels,Angel Stadium of Anaheim - Anaheim,"",06/23/18,06/23/18,01:07 AM,01:07 AM,FALSE,TRUE,06/22/18,09:07 PM,09:07 PM,FREE,BUSY
06/23/18,09:07 PM,09:07 PM,Blue Jays at Angels,Angel Stadium of Anaheim - Anaheim,"",06/24/18,06/24/18,12:07 AM,12:07 AM,FALSE,TRUE,06/23/18,08:07 PM,08:07 PM,FREE,BUSY
06/24/18,04:07 PM,04:07 PM,Blue Jays at Angels,Angel Stadium of Anaheim - Anaheim,"",06/24/18,06/24/18,07:07 PM,07:07 PM,FALSE,TRUE,06/24/18,03:07 PM,03:07 PM,FREE,BUSY
